,address,bike_stands,last_update,lat,lng,name,status
56,FACE 140 BOULEVARD RICHARD LENOIR - 75011 PARIS,56,2017-09-29 23:01:10,48.86651607982108,2.369322530407524,11113 - REPUBLIQUE FERRY,OPEN
57,39 RUE NATIONALE - 92100 BOULOGNE-BILLANCOURT,23,2017-09-29 23:00:00,48.827600424128306,2.241835191324587,21015 - NATIONALE (BOULOGNE-BILLANCOURT),OPEN
58,PLACE JEAN FERRAT - 94200 IVRY,25,2017-09-29 22:57:30,48.8185,2.37427,42015 - JEAN FERRAT (IVRY),OPEN
59,20 RUE SOMMERARD - 75005 PARIS,35,2017-09-29 22:56:45,48.850310432924466,2.345015835298588,05002 - SAINT JACQUES,OPEN
60,8 BOULEVARD DE LA VILETTE - 75010 PARIS,32,2017-09-29 22:55:09,48.87277815648997,2.376348394645978,10040 - BELLEVILLE,OPEN
61,1 RUE BRUANT - 75013 PARIS,25,2017-09-29 23:02:25,48.83484845292942,2.366826499627087,13018 - AURIOL CHEVALERET,OPEN
62,21 RUE DU DR LERAY ET LANDOUZY - 75013 PARIS,34,2017-09-29 22:59:02,48.823316172177535,2.35433694417225,13026 - PLACE HENOCQUE VERSION 2,OPEN
63,17 RUE DES FETES - 75019 PARIS,20,2017-09-29 22:55:55,48.876468339733144,2.392284629788502,19028 - PLACE DES FETES,OPEN
64,12 RUE CITE RIVERIN / ANGLE RUE DU CHATEAU D'EAU - 75010 PARIS,18,2017-09-29 22:52:41,48.8707649818776,2.35872446227434,10008 - CITE RIVERIN,OPEN
65,10 RUE ANDRE MAZET - 75006 PARIS,54,2017-09-29 23:00:39,48.853751073467855,2.339113722899687,06015 - MAZET SAINT ANDRE DES ARTS,OPEN
66,30 AVENUE DES MINIMES - 94300 VINCENNES,28,2017-09-29 23:01:33,48.841486856300165,2.430793451133684,43006 - MINIMES (VINCENNES),OPEN
67,293 RUE LECOURBE - 75015 PARIS,19,2017-09-29 22:58:33,48.83797034201205,2.287582307043615,15054 - CHANDON,OPEN
68,PLACE PASDELOUP - 75011 PARIS,21,2017-09-29 22:57:23,48.862650300140295,2.367053490449912,11043 - CIRQUE D HIVER,OPEN
69,4 RUE DOLOMIEU - 75005 PARIS,21,2017-09-29 23:00:53,48.84273504298964,2.352472437223356,05024 - PLACE MONGE,OPEN
70,102 RUE DE LA CROIX NIVERT - 75015 PARIS,47,2017-09-29 22:57:40,48.84307638694992,2.29514141310447,15036 - LAMBERT,OPEN
71,FACE 59 RUE BENOIT MALON - 94250 GENTILLY,30,2017-09-29 22:59:55,48.81444017962381,2.341070654172592,42504 - MALON (GENTILLY),OPEN
72,27 RUE DU CHERCHE MIDI 75006 PARIS,23,2017-09-29 22:57:02,48.8502410871957,2.32755154921057,06107 - CHERCHE MIDI,OPEN
73,29 RUE PIERRE DEMOURS - 75017 PARIS,36,2017-09-29 22:56:27,48.88141110121936,2.29482820074442,17029 - PLACE AIMÉE MAILLART,OPEN
74,23 QUAI PANHARD ET LEVASSOR - 75013 PARIS,59,2017-09-29 22:57:51,48.828369893809565,2.384440354604646,13050 - QUAI PANHARD ET LEVASSOR,OPEN
75,FACE 27 RUE CLAUZEL - 75009 PARIS,21,2017-09-29 23:00:09,48.879505265624786,2.337190639271711,09020 - TOUDOUZE CLAUZEL,OPEN
76,112 RUE VERCINGETORIX - 75014 PARIS,52,2017-09-29 22:55:38,48.83425924993043,2.313391647113252,14029 - GERGOVIE VERCINGETORIX,OPEN
77,39 RUE DE DUNKERQUE - 75010 PARIS,23,2017-09-29 22:58:56,48.88072668576597,2.351464333201903,10029 - PLACE DE ROUBAIX,OPEN
78,19 RUE GUERANDO - 75009 PARIS,21,2017-09-29 23:02:12,48.88291108953936,2.346319371627125,09004 - ROCHECHOUART GERANDO,OPEN
