address,bike_stands,last_update,lat,lng,name,status
158 BVD DE LA CROIX-ROUSSE,17,2017-09-29 23:39:39,45.774366,4.832716,1036 - AVEYRON,OPEN
Pierre Corneille/cours Franklin Roosevelt,20,2017-09-29 23:40:44,45.7694,4.842584,6022- PLACE MARÉCHAL LYAUTEY,OPEN
55 RUE DE LA VILLETTE,30,2017-09-29 23:34:17,45.760042,4.861734,3080 - PART-DIEU / VILLETTE (FAR),OPEN
16 PLACE CARNOT,18,2017-09-29 23:38:45,45.750116,4.82801,2004 - PERRACHE / CARNOT,OPEN
55 RUE DE BARABAN,20,2017-09-29 23:30:49,45.762055,4.868486,3101 - PATINOIRE BARABAN,OPEN
Angle Bvd de la Croix-Rousse,10,2017-09-29 23:36:39,45.774061,4.82516,4021 - TABAREAU,OPEN
3 PLACE DANTON,18,2017-09-29 23:33:15,45.7548502313005,4.85748756866509,3103 - PLACE DANTON,OPEN
Angle cours Lafayette,13,2017-09-29 23:40:24,45.763717,4.843791,6031 - LAFAYETTE/CORNEILLE,OPEN
23 RUE GORGE DE LOUP,16,2017-09-29 23:37:46,45.770136,4.80516,9049 - SERGENT BERTHET / GORGE DE LOUP,OPEN
Route de Vienne - Angle avenue Berthelot,15,2017-09-29 23:36:46,45.742639,4.850538,7023 - BERTHELOT / ROUTE DE VIENNE,OPEN
73 RUE CAZENEUVE,22,2017-09-29 23:34:34,45.731361,4.860139,8042 - FRANCIS DE PRESSENSÉ,OPEN
20 AV. JOANNES MASSET,16,2017-09-29 23:35:22,45.770508,4.800869,9044 - MASSET / SAINT PIERRE DE VAISE,OPEN
Angle cours André Philip,12,2017-09-29 23:40:38,45.772277,4.865774,10075 - GABRIEL PÉRI,OPEN
"Angle rue Anselme, face à l'IUFM",22,2017-09-29 23:31:21,45.773358,4.821234,4006 - PHILIPPE DE LASSALLE,OPEN
"Le long des grilles, côté ouest de la porte",29,2017-09-29 23:36:59,45.777521,4.844922,6002 - PORTE DES ENFANTS DU RHÔNE (FAR),OPEN
10 PLACE DE LA PAIX (VILLEURBANNE),17,2017-09-29 23:34:07,45.752074,4.91466,10016 - PLACE DE LA PAIX,OPEN
Sur le quai haut,28,2017-09-29 23:34:32,45.749431,4.834816,7033 - ST LUC / ST JOSEPH (FAR),OPEN
Rue Domer/angle rue Chevreul,12,2017-09-29 23:33:21,45.746681,4.844455,7041 - DOMER / CHEVREUL,OPEN
angle ave Rockfeller / cours Eugénie face au Bioparc,20,2017-09-29 23:31:42,45.740492,4.888084,3071 - BIOPARC,OPEN
Rue Salvador Allende / Angle promenade du Lys,10,2017-09-29 23:30:57,45.776217,4.862636,10004 - TONKIN,OPEN
Angle rue Tête d'Or,16,2017-09-29 23:33:03,45.764345,4.853492,6028 - RECAMMIER / TÊTE D'OR,OPEN
Devant la MJC,10,2017-09-29 23:40:13,45.761825,4.886156,10034 - DOCTEUR DAMIDOT,OPEN
44 BVD DES BROTTEAUX,15,2017-09-29 23:40:36,45.766284,4.856848,6045 - BROTTEAUX / VAUBAN,OPEN
2B RUE DR. ALBERIC PONT,16,2017-09-29 23:34:55,45.753452,4.804401,5047 - ALBÉRIC PONT,OPEN
3 QUAI PAUL SEDAILLAN,16,2017-09-29 23:32:15,45.797415,4.829038,9008 - L'ILE BARBE,OPEN
1 PLACE DE CROIX LUIZET,20,2017-09-29 23:33:32,45.77939,4.863068,10053 - ROSSELINI / 11 NOVEMBRE,OPEN
20 RUE VALENTIN HAUY (VILLEURBANNE),18,2017-09-29 23:37:19,45.75958,4.882739,10110 - MÉMOIRE ET SOCIÉTÉ,OPEN
10 RUE PDT P. KRUGER,16,2017-09-29 23:37:28,45.738671,4.878117,8058 - LONGEFER / KRUGER,OPEN
3 PLACE GAILLETON,16,2017-09-29 23:38:34,45.753455,4.833367,2012 - GAILLETON,OPEN
Côté route de Vienne,14,2017-09-29 23:35:41,45.735653,4.853042,8011 - PLACE LEBRET,OPEN
Devant la mairie du 4°,20,2017-09-29 23:34:28,45.774193,4.827743,4002 - MAIRIE DU 4°,OPEN
3 RUE DU CHAMP DE L'ORME (VILLEURBANNE),17,2017-09-29 23:31:15,45.771561,4.890378,10092 - MONTGOLFIER / CHATEAU GAILLARD,OPEN
Place des Maisons Neuves/Côté rue Jean Jaurès,13,2017-09-29 23:40:20,45.7563424627814,4.878336225467921,10024 - Maisons Neuves,OPEN
Place Antoinette,21,2017-09-29 23:31:17,45.753683,4.889285,3013 - PLACE ANTOINETTE,OPEN
Rue Professeur Beauvisage/Angle bd des Etats-Unis,20,2017-09-29 23:34:21,45.729771,4.868157,8006 - PLACE DU 8 MAI 1945,OPEN
"Face au 2 rue de la Poudrette, Vaulx en Velin",20,2017-09-29 23:35:49,45.76438,4.919276,12002 - POUDRETTE LA SOIE,OPEN
Rue Francis de Pressensé/angle 8 mai 1945,16,2017-09-29 23:33:00,45.769158,4.89678,10049 - PRESSENSÉ,OPEN
176–180 Rue de Gerland 69007 Lyon,12,2017-09-29 23:36:09,45.729791,4.838138,7021- CHALLEMEL LACOUR / GERLAND,OPEN
Devant l'entrée du parc,20,2017-09-29 23:35:04,45.772846,4.856274,6003 - AVENUE VERGUIN,OPEN
Angle av Michelet,12,2017-09-29 23:37:38,45.733317,4.878607,8024 - MERMOZ / MICHELET,OPEN
Angle Bld Y. Farge / rue Commandant Ayasse,20,2017-09-29 23:40:47,45.735741,4.827725,7007 - FARGE / AYASSE,OPEN
Angle rue Morellet,15,2017-09-29 23:35:06,45.774526,4.848443,6020 - MUSÉE GUIMET,OPEN
45 RUE DE LA POUDRETTE (VILLEURBANNE),25,2017-09-29 23:39:36,45.760908,4.920569,12001 - LA SOIE,OPEN
Avenue Galline/angle av. de Condorcet,15,2017-09-29 23:35:22,45.776428,4.866976,10055 - CONDORCET / GALLINE,OPEN
87 RUE DOCTEUR EDMOND LOCARD,20,2017-09-29 23:36:13,45.7598,4.796561,5044 - CHAMPVERT,OPEN
Place Charles Hernu / côté sud,32,2017-09-29 23:40:14,45.770225,4.863102,10006 - CHARPENNES (FAR),OPEN
Angle rue Vendôme,10,2017-09-29 23:33:36,45.771794,4.84459,6012 - PLACE PUVIS DE CHAVANNES,OPEN
AVENUE FELIX FAURE ANGLE VIVIER MERLE. 10M AVANT VIVIER MERLE EN DIRECTION DU RHONE,35,2017-09-29 23:34:48,45.75381,4.859795,03036 - FELIX FAURE / VIVIER MERLE,OPEN
Rue Docteur Dolard / Angle rue 4 Septembre,15,2017-09-29 23:40:06,45.761468,4.872466,10073 - INSTITUT D'ART CONTEMPORAIN,OPEN
Angle rue Emile Duport,23,2017-09-29 23:33:46,45.784334,4.812215,9014 - QUAI DU COMMERCE,OPEN
28 QUAI VICTOR AUGAGNEUR,16,2017-09-29 23:40:35,45.757192,4.840495,3097 - AUGAGNEUR / FOSSE AUX OURS (FAR),OPEN
Angle rue Chinard/rue St Cyr,13,2017-09-29 23:38:38,45.778639,4.8071,9022 - RUE MASARYK / SAINT CYR,OPEN
105 ROUTE DE GENAS (VILLEURBANNE),32,2017-09-29 23:38:39,45.754415,4.885249,10112 - PLACE DE LA RECONNAISSANCE,OPEN
FACE AU 81 QUAI JOSEPH GILLET,25,2017-09-29 23:34:57,45.788204,4.818572,04024 - LYON METROPOLE,OPEN
"170 Boulevard des Etats-Unis, Angle Avenue Viviani, direction Venissieux",20,2017-09-29 23:34:11,45.724775,4.870745,8041 - ETATS UNIS / VIVIANI,OPEN
Place Meissonier - Angle Sud-Est de la place,10,2017-09-29 23:32:39,45.766073,4.832849,1005 - MEISSONNIER,OPEN
71 COURS LAFAYETTE,15,2017-09-29 23:34:53,45.764013,4.849933,6040 - LES HALLES,OPEN
Angle rue Plessier,30,2017-09-29 23:40:39,45.751233,4.82688,2022 - PLACE CARNOT,OPEN
Angle rue Pillement,13,2017-09-29 23:40:10,45.777431,4.820526,4014 - PHILIPPE DE LASSALLE / PILLEMENT,OPEN
Devant entrée principale de l'université,26,2017-09-29 23:37:46,45.748535,4.861533,8001 - UNIVERSITÉ LYON III (FAR),OPEN
Place Victor Basch,20,2017-09-29 23:40:25,45.75377,4.848043,3005 - SAXE-GAMBETTA (FAR),OPEN
ANGLE RUE BILLON / RUE F. DE PRESSENSE,16,2017-09-29 23:33:27,45.771912,4.87907,10121 - PARC DU CENTRE,OPEN
274 COURS EMILE ZOLA (VILLEURBANNE),22,2017-09-29 23:39:58,45.767051,4.892467,10058 - MÉTRO FLACHET,OPEN
23 RUE RENAN,16,2017-09-29 23:32:44,45.746779,4.842051,7055 - SERVANT / JABOULAY,OPEN
84 avenue des Arts,30,2017-09-29 23:39:25,45.783533,4.871294,10084 - DOUA / AVENUE DES ARTS,OPEN
6 RUE ANTOINE LUMIERE,16,2017-09-29 23:34:04,45.743569,4.870083,8053 - LUMIERE / TROUILHET,OPEN
94 RUE PHILIPPE DE LASALLE,16,2017-09-29 23:34:55,45.781699,4.820596,4042 - GREGORY COUPET,OPEN
Entre rue Crillon et rue Sully,11,2017-09-29 23:38:21,45.770664,4.849946,6021- GARIBALDI,OPEN
1 PLACE DE L'ABBE LARUE,18,2017-09-29 23:36:12,45.75597,4.818904,5053 - SAINT JUST,OPEN
12 COURS CHARLEMAGNE,30,2017-09-29 23:34:24,45.747956,4.824898,2037 - PLACE DES ARCHIVES,OPEN
Rue Roquette / angle rue de Bourgogne,16,2017-09-29 23:35:40,45.775679,4.805314,9003 - PLACE VALMY,OPEN
16 RUE DES REMPARTS D'AINAY,16,2017-09-29 23:38:38,45.753077,4.829706,2038 - REMPARTS D'AINAY,OPEN
34 RUE ANTOINE LUMIERE,20,2017-09-29 23:32:48,45.740865,4.868244,8054 - MARTINIERE MONPLAISIR,OPEN
Angle rue de la Madeleine,10,2017-09-29 23:38:28,45.751073,4.848018,7039 - GUILLOTIÈRE / MADELEINE,OPEN
Avenue Jean Jaurès - Au niveau du square Galtier,40,2017-09-29 23:38:16,45.727494,4.831145,7006 - GERLAND,OPEN
12 QUAI ST VINCENT,22,2017-09-29 23:39:14,45.76791,4.819845,1006- SUBSISTANCES,OPEN
Côté Rue Philippe de Lassalle,18,2017-09-29 23:36:06,45.779332,4.820259,4007 - PLACE FLAMMARION,OPEN
