address,bike_stands,last_update,lat,lng,name,status
JEAN MOULIN BAILLE - BOULEVARD JEAN  MOULIN ANGLE BOULEVARD BAILLE,15,2017-09-29 23:35:38,43.2902407800378,5.39960982405674,5106-JEAN MOULIN BAILLE,OPEN
ROOSEVELT ORAN - 53 COURS FRANKLIN ROOSEVELT ANGLE RUE D'ORAN,10,2017-09-29 23:36:15,43.29899195650368,5.388799115293999,5220-ROOSEVELT - ORAN,OPEN
PRADO DUVEEN - 72 AVENUE DU PRADO,19,2017-09-29 23:38:32,43.27654702249427,5.388799649683594,8309- PRADO DUVEEN,OPEN
NEGRESKO PAULET - FACE AU 42 RUE NEGRESKO,15,2017-09-29 23:35:27,43.269318556371154,5.389387542314263,8265- NÉGRESKO - PAULET,OPEN
DAMES SCHUMANN - 96 BOULEVARD DES DAMES,13,2017-09-29 23:37:38,43.30331167287617,5.366730359523051,2032- DAMES  SCHUMANN,OPEN
CORSE SAINT MAURICE - 28 AVENUE DE LA CORSE ANGLE RAMPE SAINT MAURICE,10,2017-09-29 23:32:11,43.28946760889984,5.36370990786361,7153-CORSE ST MAURICE,OPEN
VIEILLE CHAPELLE - 35 AVENUE DE LA POINTE ROUGE,20,2017-09-29 23:34:57,43.24789994774334,5.374447484757423,8078-VIEILLE CHAPELLE,OPEN
3 Boulevard Louis Salvator angle rue d'Italie,17,2017-09-29 23:40:30,43.290978,5.381342,6348 - ROME- SALVATOR-ITALIE,OPEN
PLAINE BIBLIOTHEQUE - 45 RUE DE LA BIBLIOTHEQUE,16,2017-09-29 23:35:42,43.29582518327951,5.385996090720193,1224-PLAINE - BIBLIOTHEQUE,OPEN
SAKAKINI FOCH - BOULAVARD SAKAKINI ANGLE AVENUE MARECHAL FOCH,11,2017-09-29 23:41:38,43.29952274790985,5.401127142110414,4022-SAKAKINI FOCH,OPEN
GRIGNAN MARCELLE PAUL - RUE GRIGNAN ANGLE RUE DE LA PAIX MARCELLE PAUL,10,2017-09-29 23:34:27,43.291357465205536,5.373546945382951,1213-GRIGNAN - MARCELLE PAUL,OPEN
